类别,项目,规格/品牌,单位,数量,单价,合价,备注
01 局改工程,阳台移门拆除+修补,人工+垃圾清运,项,1,1200,1200,含地面/墙面接缝修补
01 局改工程,地砖通铺/瓷砖找平,大尺寸瓷砖(750*1500),㎡,35,450,15750,含客餐厅+阳台/极简无缝
01 局改工程,阳台门套/窗套,哑光铝合金/木质极简,口,1,1500,1500,拆除移门后的收口
01 局改工程,阳台吊顶改造,平面石膏板+抗裂/防潮,㎡,7.9,280,2212,做隐形晾衣架卡位
01 局改工程,嵌入式电动晾衣架,隐藏式/智能控制,套,1,2800,2800,收起后与吊顶齐平
01 局改工程,吊顶加宽/石膏板修补,轻钢龙骨/双层板,米,12,220,2640,主卧/客厅侧边加宽、藏灯带
02 全屋定制,玄关鞋柜,多层板/肤感门板,㎡,3.8,1500,5700,进门玄关定制
02 全屋定制,餐边柜,多层板/带水吧台位,㎡,5.5,1600,8800,预留插座/咖啡机位
02 全屋定制,电视柜,现代/意式极简组合,㎡,6.5,1800,11700,悬浮设计/底部留灯带
02 全屋定制,主卧大衣柜,ENF级环保/通顶设计,㎡,9,1400,12600,无拉手极简/含抽屉
02 全屋定制,主卧背景墙护墙板,木饰面/防火板,㎡,10,650,6500,增加卧室质感/防撞
02 全屋定制,南次卧榻榻米,实木板/气压杆收纳,㎡,5,1800,9000,次卧空间极致利用
02 全屋定制,南次卧吊柜/书架,多层板/平板门,㎡,3,1300,3900,榻榻米配套储物
02 全屋定制,北次卧墙面拉齐(薄柜),补齐格局/储物,㎡,4,1400,5600,拉平异形墙面/增加收纳
02 全屋定制,阳台家政柜,防潮板/内嵌洗烘机,㎡,3.5,1450,5075,扫地机出水口预留
02 全屋定制,五金配件升级,百隆Blum/海蒂诗,套,1,8500,8500,静音缓冲/经久耐用
03 家电智能化,全屋智能灯控,Aqara/米家,套,1,5000,5000,全屋智能联动
03 家电智能化,多联机空调升级,精装机型/风口改造,项,1,3000,3000,配合吊顶加宽调整风口
04 基础安装/主材,插座/开关升级,公牛/斜五孔面板,位,20,160,3200,提升触感及适配度
04 基础安装/主材,墙面乳胶漆补漆/改色,可乐利/芬琳,㎡,140,85,11900,全屋肤感整体提升
汇总,,,,,,126577,预估总预算
